월,Python,R,Scala,Julia
2004-01,17,31,0,0
2004-02,13,34,0,12
2004-03,15,31,0,0
2004-04,13,32,0,5
2004-05,18,32,3,2
2004-06,22,24,0,6
2004-07,24,23,3,2
2004-08,25,25,0,4
2004-09,19,40,0,0
2004-10,22,20,0,2
2004-11,22,19,0,4
2004-12,23,28,0,5
2005-01,28,31,0,5
2005-02,22,34,0,0
2005-03,18,30,0,5
2005-04,23,34,0,6
2005-05,20,30,0,5
2005-06,33,30,0,4
2005-07,24,28,0,3
2005-08,25,21,0,0
2005-09,24,35,5,0
2005-10,24,34,2,2
2005-11,22,30,2,4
2005-12,22,27,3,6
2006-01,24,28,2,3
2006-02,21,26,3,5
2006-03,25,27,1,2
2006-04,20,30,0,0
2006-05,19,27,0,3
2006-06,19,25,1,7
2006-07,15,27,0,0
2006-08,22,23,1,4
2006-09,22,28,0,5
2006-10,23,30,2,2
2006-11,18,29,0,3
2006-12,21,35,1,4
2007-01,19,30,2,2
2007-02,24,28,0,2
2007-03,20,31,0,3
2007-04,18,32,1,3
2007-05,21,34,0,3
2007-06,19,34,0,0
2007-07,19,29,1,1
2007-08,21,28,2,5
2007-09,17,29,0,3
2007-10,22,36,0,6
2007-11,18,31,0,1
2007-12,18,36,0,3
2008-01,22,34,0,6
2008-02,20,33,1,4
2008-03,23,35,0,3
2008-04,21,38,1,2
2008-05,20,32,1,2
2008-06,22,31,0,5
2008-07,23,60,1,1
2008-08,21,49,1,5
2008-09,25,47,0,4
2008-10,19,36,0,4
2008-11,24,34,0,3
2008-12,24,32,0,3
2009-01,25,35,0,1
2009-02,28,37,1,5
2009-03,27,38,1,3
2009-04,24,45,2,4
2009-05,25,46,2,3
2009-06,26,44,3,3
2009-07,27,42,0,5
2009-08,28,37,1,6
2009-09,26,46,3,6
2009-10,25,45,0,5
2009-11,24,46,1,7
2009-12,18,42,1,7
2010-01,25,47,1,8
2010-02,22,47,2,6
2010-03,27,48,1,7
2010-04,25,54,1,6
2010-05,26,48,1,5
2010-06,24,49,1,6
2010-07,23,47,2,6
2010-08,22,46,1,7
2010-09,12,38,1,3
2010-10,10,38,<1,4
2010-11,12,42,1,3
2010-12,11,43,<1,3
2011-01,10,47,1,3
2011-02,15,55,1,5
2011-03,16,49,1,5
2011-04,16,47,1,5
2011-05,15,43,1,3
2011-06,14,41,1,4
2011-07,14,39,1,3
2011-08,12,38,1,4
2011-09,13,43,1,4
2011-10,12,40,<1,3
2011-11,11,37,<1,3
2011-12,11,35,1,3
2012-01,9,33,<1,3
2012-02,10,34,<1,3
2012-03,11,35,1,3
2012-04,14,35,1,3
2012-05,14,35,1,4
2012-06,12,38,1,4
2012-07,13,41,1,4
2012-08,12,36,1,4
2012-09,14,40,1,4
2012-10,13,39,1,4
2012-11,13,38,1,4
2012-12,11,37,1,5
2013-01,14,35,1,4
2013-02,14,33,1,4
2013-03,15,36,1,4
2013-04,16,37,2,3
2013-05,16,40,1,4
2013-06,14,41,1,4
2013-07,16,39,1,5
2013-08,16,40,1,4
2013-09,15,39,1,4
2013-10,16,39,1,4
2013-11,18,39,1,4
2013-12,15,44,2,5
2014-01,17,38,1,4
2014-02,19,34,1,5
2014-03,20,41,2,4
2014-04,20,41,1,4
2014-05,18,43,1,5
2014-06,17,39,2,4
2014-07,18,37,2,4
2014-08,18,37,1,4
2014-09,19,42,2,4
2014-10,20,49,2,4
2014-11,20,39,2,4
2014-12,20,37,2,5
2015-01,20,39,1,4
2015-02,22,36,1,5
2015-03,23,39,2,4
2015-04,24,41,2,4
2015-05,21,39,2,4
2015-06,21,35,2,5
2015-07,23,39,2,5
2015-08,21,36,2,4
2015-09,22,39,2,4
2015-10,23,39,2,4
2015-11,25,40,2,4
2015-12,25,37,2,5
2016-01,30,35,2,4
2016-02,28,38,2,5
2016-03,36,42,3,4
2016-04,36,43,3,4
2016-05,37,52,2,5
2016-06,36,61,3,4
2016-07,33,52,2,4
2016-08,34,40,3,4
2016-09,33,40,2,4
2016-10,38,43,3,4
2016-11,41,49,3,4
2016-12,39,53,3,4
2017-01,37,62,3,3
2017-02,41,51,3,4
2017-03,48,65,3,4
2017-04,43,70,3,4
2017-05,47,54,2,4
2017-06,43,49,2,4
2017-07,44,39,3,3
2017-08,40,39,2,3
2017-09,45,44,2,3
2017-10,39,42,2,4
2017-11,53,50,2,4
2017-12,44,48,2,4
2018-01,52,42,2,3
2018-02,46,40,2,4
2018-03,57,47,2,3
2018-04,61,52,2,4
2018-05,59,49,2,3
2018-06,55,44,2,4
2018-07,57,41,2,3
2018-08,56,38,2,3
2018-09,51,40,2,4
2018-10,49,46,2,4
2018-11,60,46,2,4
2018-12,48,39,1,4
2019-01,50,37,1,4
2019-02,48,38,2,4
2019-03,60,41,2,4
2019-04,68,44,2,3
2019-05,69,43,2,3
2019-06,60,41,2,4
2019-07,65,38,2,4
2019-08,63,36,2,3
2019-09,67,43,2,3
2019-10,68,44,2,4
2019-11,69,43,1,3
2019-12,62,38,1,4
2020-01,63,31,1,3
2020-02,63,34,1,4
2020-03,71,40,1,3
2020-04,78,48,1,3
2020-05,77,50,1,3
2020-06,84,51,1,3
2020-07,84,40,1,3
2020-08,73,38,1,3
2020-09,78,45,1,3
2020-10,70,45,1,3
2020-11,70,42,1,3
2020-12,65,36,1,3
2021-01,62,29,1,3
2021-02,64,30,1,2
2021-03,71,37,1,3
2021-04,72,41,1,2
2021-05,68,38,1,3
2021-06,67,36,1,3
2021-07,65,30,1,3
2021-08,61,31,1,3
2021-09,60,32,1,2
2021-10,64,36,1,2
2021-11,71,35,1,2
2021-12,62,32,1,3
2022-01,80,30,1,4
2022-02,81,30,1,3
2022-03,96,39,1,2
2022-04,100,47,1,3
2022-05,96,42,1,3
2022-06,81,36,1,2
2022-07,83,29,1,3
2022-08,82,27,1,3
2022-09,80,33,1,2
2022-10,85,37,1,2
2022-11,91,38,1,2
2022-12,72,37,1,2
2023-01,75,27,1,2
2023-02,77,29,1,2
2023-03,83,36,1,2
2023-04,73,37,1,2
2023-05,67,34,1,2
2023-06,58,33,1,3
2023-07,60,30,1,2
