,성별,중량,최저가,낙찰가,결격사유 여부,종류,성별_N,종류_N
0,암,580,360,363,1,큰소,0,0
1,암,460,320,353,0,큰소,0,0
2,암,340,400,471,1,큰소,0,0
3,암,380,400,432,1,큰소,0,0
4,암,550,650,766,0,큰소,0,0
5,암,500,450,485,0,큰소,0,0
6,암,290,300,353,1,큰소,0,0
7,암,500,520,545,0,큰소,0,0
8,암,590,560,565,1,큰소,0,0
9,암,580,430,463,1,큰소,0,0
10,암,565,680,759,0,큰소,0,0
11,암,530,430,490,0,큰소,0,0
12,암,430,530,555,0,큰소,0,0
13,암,450,700,719,0,큰소,0,0
14,암,510,500,553,0,큰소,0,0
15,암,625,530,562,0,큰소,0,0
16,암,410,450,472,0,큰소,0,0
17,암,330,530,580,0,큰소,0,0
18,암,355,530,580,0,큰소,0,0
19,암,480,500,480,0,큰소,0,0
20,암,530,950,970,1,큰소,0,0
21,암,490,450,475,0,큰소,0,0
22,암,495,450,485,0,큰소,0,0
23,암,370,650,722,0,큰소,0,0
24,암,410,460,463,1,큰소,0,0
25,암,315,360,402,1,큰소,0,0
26,암,590,500,551,0,큰소,0,0
27,암,540,450,423,0,큰소,0,0
28,암,490,480,539,1,큰소,0,0
29,암,310,380,487,0,큰소,0,0
30,암,450,700,769,0,큰소,0,0
31,암,550,650,702,0,큰소,0,0
32,암,660,550,579,0,큰소,0,0
33,암,515,500,515,0,큰소,0,0
34,암,550,410,410,0,큰소,0,0
35,암,460,500,531,0,큰소,0,0
36,암,490,520,566,0,큰소,0,0
37,암,460,550,625,0,큰소,0,0
38,암,500,600,688,0,큰소,0,0
39,암,650,750,858,0,큰소,0,0
40,암,560,360,335,0,큰소,0,0
41,암,470,600,716,0,큰소,0,0
42,암,450,580,678,0,큰소,0,0
43,암,490,450,469,0,큰소,0,0
44,암,520,600,635,0,큰소,0,0
45,암,370,320,320,0,큰소,0,0
46,암,370,400,400,0,큰소,0,0
47,암,355,400,414,0,큰소,0,0
48,암,480,600,600,1,큰소,0,0
49,암,490,450,448,0,큰소,0,0
50,암,395,550,500,0,큰소,0,0
51,암,560,500,589,0,큰소,0,0
52,암,540,630,685,0,큰소,0,0
53,암,470,530,577,0,큰소,0,0
54,암,415,420,456,0,큰소,0,0
55,암,520,380,451,1,큰소,0,0
56,암,640,420,509,1,큰소,0,0
57,암,260,390,435,1,큰소,0,0
58,암,550,450,487,0,큰소,0,0
59,암,560,380,413,1,큰소,0,0
60,암,435,530,611,0,큰소,0,0
61,암,330,530,580,0,큰소,0,0
62,암,365,500,537,0,큰소,0,0
63,암,530,530,573,0,큰소,0,0
64,암,450,300,345,0,큰소,0,0
65,암,400,500,552,0,큰소,0,0
66,암,420,550,585,0,큰소,0,0
67,암,480,470,519,1,큰소,0,0
68,암,480,430,478,0,큰소,0,0
69,암,440,400,410,0,큰소,0,0
70,암,460,480,512,0,큰소,0,0
71,암,315,380,399,0,큰소,0,0
72,암,350,370,370,1,큰소,0,0
73,암,580,460,462,0,큰소,0,0
74,암,490,330,314,0,큰소,0,0
75,암,420,380,416,0,큰소,0,0
76,암,500,360,342,1,큰소,0,0
77,암,560,520,567,0,큰소,0,0
78,암,580,500,533,0,큰소,0,0
79,암,520,450,477,0,큰소,0,0
80,암,550,660,719,0,큰소,0,0
81,암,640,600,703,0,큰소,0,0
82,암,400,340,387,0,큰소,0,0
83,암,455,470,509,0,큰소,0,0
84,암,390,240,241,1,큰소,0,0
85,암,520,500,546,0,큰소,0,0
86,암,550,530,586,0,큰소,0,0
87,암,570,560,587,0,큰소,0,0
88,암,290,250,290,0,큰소,0,0
89,암,490,500,539,0,큰소,0,0
90,암,580,580,631,0,큰소,0,0
91,암,540,330,378,0,큰소,0,0
92,암,600,650,686,0,큰소,0,0
93,암,600,650,845,0,큰소,0,0
94,암,690,750,826,0,큰소,0,0
95,암,560,550,590,0,큰소,0,0
96,암,440,550,626,0,큰소,0,0
97,암,415,500,505,0,큰소,0,0
98,암,375,500,566,0,큰소,0,0
99,암,470,580,654,0,큰소,0,0
100,암,620,600,676,0,큰소,0,0
101,암,445,430,485,0,큰소,0,0
102,암,430,430,495,0,큰소,0,0
103,암,470,560,543,0,큰소,0,0
104,암,470,260,300,1,큰소,0,0
105,암,670,530,605,0,큰소,0,0
106,암,440,530,551,0,큰소,0,0
107,암,570,570,629,0,큰소,0,0
108,암,590,570,676,0,큰소,0,0
109,암,420,500,555,1,큰소,0,0
110,암,440,500,537,0,큰소,0,0
111,암,575,550,571,1,큰소,0,0
112,암,355,430,457,0,큰소,0,0
113,암,470,450,469,0,큰소,0,0
114,암,490,450,545,0,큰소,0,0
115,암,430,550,623,0,큰소,0,0
116,암,420,400,450,0,큰소,0,0
117,암,370,400,487,0,큰소,0,0
118,암,590,600,615,0,큰소,0,0
119,암,440,430,452,0,큰소,0,0
120,암,440,280,263,1,큰소,0,0
121,암,410,440,467,1,큰소,0,0
122,암,395,450,511,0,큰소,0,0
123,암,400,440,487,0,큰소,0,0
